customer_id,customer_name,email,registration_date,customer_type,is_email_valid
24,Jessica Holmes,wrightcaleb@gmail.com,2025-05-15 04:35:29,REGULAR,True
25,Crystal Robinson,zimmermanbrian@gmail.com,2023-03-28 21:31:04,REGULAR,True
26,Shannon Jones,joshuawashington@hotmail.com,2024-05-05 00:56:31,REGULAR,True
27,Timothy Duncan,esanchez@yahoo.com,2025-05-31 02:00:17,PREMIUM,True
28,Brent Jordan,ujenkins@gmail.com,2025-10-15 04:31:28,REGULAR,True
29,Victoria Garcia,zchandler@gmail.com,2025-09-25 15:15:17,REGULAR,True
30,Connor West,dwhite@gmail.com,2024-01-19 02:56:23,PREMIUM,True
31,Angela Morton,williamsyvette@gmail.com,2025-06-27 02:56:43,REGULAR,True
32,Tammy Allison,richardolson@yahoo.com,2024-07-16 08:12:20,REGULAR,True
33,Carmen Smith,ybaker@yahoo.com,2025-03-02 12:31:01,REGULAR,True
34,Michael Cross,smoore@gmail.com,2023-06-20 08:00:57,REGULAR,True
35,Lauren Daniels,brian97@hotmail.com,2025-11-23 02:10:42,REGULAR,True
36,Kim Brown,yorkcasey@gmail.com,2024-08-15 19:47:53,REGULAR,True
37,Cynthia Wilson,bethwilliams@gmail.com,2024-01-26 13:23:51,VIP,True
38,Kevin Mills,james53@yahoo.com,2023-01-18 20:02:36,PREMIUM,True
39,Michael Evans,sarah10@yahoo.com,2025-04-14 03:42:17,PREMIUM,True
40,Kristine Garcia,williamanderson@yahoo.com,2024-06-12 10:39:39,REGULAR,True
41,Sherry Wood,samueldaniels@yahoo.com,2024-12-05 20:02:45,REGULAR,True
42,Victoria Valdez,contrerasangela@hotmail.com,2024-02-14 03:51:19,VIP,True
43,Shawn Baker,newtoneric@yahoo.com,2025-02-27 15:44:40,VIP,True
44,Michelle Harris,william40@gmail.com,2024-04-08 14:49:41,PREMIUM,True
45,Sandra Williams,kellie42@hotmail.com,2023-11-05 23:56:36,REGULAR,True
46,Michael Hoffman,jonesnicole@gmail.com,2025-04-17 21:30:27,VIP,True
47,Sandra Aguilar,russellwilliams@yahoo.com,2023-01-01 21:19:18,REGULAR,True
48,Rebecca Valencia,jason31@yahoo.com,2023-06-23 18:43:51,VIP,True
49,Stacey Russell,sarayoung@gmail.com,2024-04-22 16:57:27,REGULAR,True
50,Rita Keith,whitesandra@yahoo.com,2025-05-31 08:35:59,VIP,True
51,Sharon Cochran,erik16@gmail.com,2025-01-24 23:02:15,PREMIUM,True
52,Courtney Velasquez,ybailey@gmail.com,2025-04-07 12:43:31,PREMIUM,True
53,Matthew Ross,michelle45@hotmail.com,2025-01-08 07:48:40,VIP,True
54,Meghan Anthony,sheila14@gmail.com,2025-03-30 17:06:16,PREMIUM,True
55,Victoria Johnson,yreed@yahoo.com,2023-11-26 00:24:33,VIP,True
56,William Wilson,jonathanfletcher@gmail.com,2023-11-09 11:27:18,PREMIUM,True
57,Renee Mcdaniel,michaeljones@hotmail.com,2025-11-09 10:18:17,REGULAR,True
58,Lisa Alvarado,cortezkevin@yahoo.com,2025-03-15 00:37:33,REGULAR,True
59,Erika Terry,jamesortega@yahoo.com,2023-04-10 11:03:30,REGULAR,True
60,Stephanie Gilbert,richard04@yahoo.com,2023-12-24 11:17:56,REGULAR,True
61,Richard Lawson,steven73@,2023-04-02 10:58:23,REGULAR,False
62,Steven Flynn,donnacampbell@hotmail.com,2024-05-28 07:16:01,REGULAR,True
63,Frances Cardenas,emilywalker@gmail.com,2025-11-05 05:17:57,REGULAR,True
64,Angel Riggs,gibsonolivia@hotmail.com,2025-06-06 02:01:46,REGULAR,True
65,Michael Snyder,dylanwatts@gmail.com,2025-01-04 17:42:33,PREMIUM,True
66,Colleen Brock,pwilliams@gmail.com,2023-05-31 13:50:33,PREMIUM,True
67,Robert Contreras,stephanie79@hotmail.com,2024-09-30 15:00:13,REGULAR,True
68,Jessica Meadows,vmerritt@yahoo.com,2025-11-12 00:50:59,PREMIUM,True
69,Paul Larsen,katie87@hotmail.com,2023-04-05 03:48:15,REGULAR,True
70,Jeremiah Reeves,josephflores@hotmail.com,2023-06-19 17:50:41,REGULAR,True
71,Chris Reyes,jasminebrown@yahoo.com,2024-11-27 21:31:31,REGULAR,True
72,John Brown,xprice@hotmail.com,2024-12-19 16:01:28,REGULAR,True
73,Alicia Gilmore,wwoods@yahoo.com,2024-11-19 09:06:41,PREMIUM,True
74,Sarah Ashley,vmedina@hotmail.com,2023-06-02 02:18:07,REGULAR,True
75,Stephanie Freeman,ryan06@yahoo.com,2023-01-23 22:12:45,VIP,True
76,Rebecca Ramsey,ncalhoun@hotmail.com,2024-01-03 04:51:58,REGULAR,True
77,James Elliott,millerroy@yahoo.com,2023-11-29 01:04:36,PREMIUM,True
78,David Murphy,wmurphy@yahoo.com,2023-09-13 18:07:00,REGULAR,True
79,Trevor Fisher,ruizkaitlyn@gmail.com,2024-02-16 23:29:11,VIP,True
80,Mrs. Marie Harrington DDS,herringjames@gmail.com,2024-03-19 02:51:43,REGULAR,True
81,Cynthia Wells,elliottjeffery@hotmail.com,2025-05-13 08:32:41,PREMIUM,True
82,Jacob Obrien,stricklandfrank@yahoo.com,2023-10-22 23:54:20,REGULAR,True
83,Alexander Collins,tsanders@gmail.com,2025-06-18 17:24:22,PREMIUM,True
84,Michael Burton,terrykevin@hotmail.com,2024-05-02 04:02:05,REGULAR,True
85,Barbara Riggs,reedross@yahoo.com,2025-02-20 03:37:15,VIP,True
86,Matthew Smith,gshort@yahoo.com,2023-03-30 08:37:27,VIP,True
87,Madison Poole,ryangross@hotmail.com,2023-10-16 16:03:24,REGULAR,True
88,Robert Medina,umarshall@hotmail.com,2024-01-01 09:02:12,REGULAR,True
89,Samuel Rivas,ramirezshannon@yahoo.com,2025-06-03 23:02:19,REGULAR,True
90,Mary Rogers,lrosales@yahoo.com,2025-08-20 04:12:59,REGULAR,True
91,Robert Peterson,angela83@gmail.com,2025-05-28 01:11:13,REGULAR,True
92,Jason Peters,hannahbrewer@yahoo.com,2023-11-14 07:20:05,PREMIUM,True
93,Alan Phillips,tholt@hotmail.com,2024-02-17 14:49:36,REGULAR,True
94,Kara Schmidt,jbarajas@yahoo.com,2024-04-11 00:42:06,REGULAR,True
95,Jesse Parker,davidlee@gmail.com,2023-04-23 16:36:12,REGULAR,True
96,Tiffany Vaughn,javierwashington@hotmail.com,2025-05-24 13:55:27,VIP,True
97,Paige Carlson,wallkenneth@yahoo.com,2023-11-28 02:58:07,REGULAR,True
98,Adrian Ferguson,brandon08@yahoo.com,2024-06-26 03:59:32,PREMIUM,True
99,Beth Oneill,agarcia@hotmail.com,2024-07-28 00:58:06,REGULAR,True
100,John Peterson,kingmichelle@gmail.com,2025-04-23 20:38:00,PREMIUM,True
101,Jennifer Jones,hernandezlisa@yahoo.com,2025-10-12 22:00:15,REGULAR,True
102,David Grant,yobrien@hotmail.com,2025-05-11 13:04:18,REGULAR,True
103,Joseph Hayes,levans@yahoo.com,2023-07-28 14:44:08,REGULAR,True
104,Marc Lynch,mezajared@gmail.com,2025-05-09 09:40:20,REGULAR,True
105,Brad Allen,moorericky@hotmail.com,2023-11-24 04:50:33,PREMIUM,True
106,Doris Hall,jacqueline71@hotmail.com,2025-09-12 06:06:17,PREMIUM,True
107,Dennis Moody,ronaldstephens@hotmail.com,2024-01-26 02:28:43,VIP,True
108,Derek Thomas,martinkyle@hotmail.com,2023-05-24 09:08:10,REGULAR,True
109,Tammy Gonzales,sbarker@yahoo.com,2023-03-10 11:40:25,REGULAR,True
110,Kathryn Snyder,georgepamela@hotmail.com,2025-09-16 17:18:29,VIP,True
111,David Davis,keyemily@yahoo.com,2024-11-17 08:49:18,REGULAR,True
112,Pamela Thompson,lmoon@hotmail.com,2023-01-16 00:30:45,REGULAR,True
113,Robert Costa,vbailey@yahoo.com,2023-08-20 13:08:47,REGULAR,True
114,Shannon Rivera,zroberts@hotmail.com,2025-06-23 21:31:50,REGULAR,True
115,Brandon King,cordovarichard@hotmail.com,2023-03-06 23:29:34,REGULAR,True
116,April Booth,mgutierrez@hotmail.com,2023-03-03 23:23:19,PREMIUM,True
117,Peter Garrett,harrisandrea@yahoo.com,2024-01-23 15:08:34,PREMIUM,True
118,Michael Martinez,jennifercollins@gmail.com,2025-05-19 17:58:13,PREMIUM,True
119,Anna Gay,murraydavid@gmail.com,2025-08-22 03:56:17,PREMIUM,True
120,Dr. Jordan Hill PhD,jsanchez@gmail.com,2024-01-03 18:12:26,PREMIUM,True
121,Thomas Romero,michellehill@yahoo.com,2023-10-03 00:59:26,PREMIUM,True
122,Richard Adams,campbellkenneth@hotmail.com,2024-05-31 00:46:18,PREMIUM,True
123,Mary Grimes,wryan@yahoo.com,2025-11-06 15:56:52,PREMIUM,True
124,Kimberly Gibson,molly39@yahoo.com,2024-02-19 11:14:16,REGULAR,True
125,Reginald Williams,zthornton@yahoo.com,2024-08-17 06:11:20,PREMIUM,True
126,Matthew Hoover,tylerjohnson@hotmail.com,2023-12-12 12:55:48,REGULAR,True
127,Evelyn Garcia,dgarcia@gmail.com,2024-06-27 04:12:39,REGULAR,True
128,Jennifer Pena,charlesharrington@yahoo.com,2023-12-20 13:22:29,REGULAR,True
129,Michael Santos,melissa86@yahoo.com,2024-09-10 23:53:18,REGULAR,True
130,Stacy Freeman,williamsonjimmy@hotmail.com,2024-03-09 14:32:02,REGULAR,True
131,Yolanda Francis,wgood@hotmail.com,2025-11-21 14:16:17,VIP,True
132,Ashlee Jackson,rebecca05@gmail.com,2023-02-12 21:01:21,REGULAR,True
133,James Thomas,yknight@gmail.com,2023-10-05 09:29:26,REGULAR,True
134,Bob Pitts,tyleraguilar@gmail.com,2023-03-01 10:19:54,REGULAR,True
135,David Scott,nolansteven@yahoo.com,2024-05-02 06:44:16,REGULAR,True
136,Brooke Alexander,vanessa46@hotmail.com,2023-06-29 15:35:14,REGULAR,True
137,Ryan Gonzalez,gcastaneda@gmail.com,2024-01-31 16:44:36,REGULAR,True
138,Ian Phillips,andrew64@gmail.com,2025-03-18 16:02:07,VIP,True
139,Melissa Garner,lozanojulie@yahoo.com,2025-11-07 18:50:34,REGULAR,True
140,Crystal Pham,danaoliver@hotmail.com,2025-10-28 20:34:32,VIP,True
141,Patricia Becker,courtneyberger@hotmail.com,2025-10-27 12:52:39,PREMIUM,True
142,Richard Johnson,jessica14@yahoo.com,2024-04-11 12:49:32,REGULAR,True
143,Casey Anderson,alyssa42@yahoo.com,2024-05-21 16:58:48,REGULAR,True
144,Terry Coffey,julie51@yahoo.com,2023-07-17 17:37:59,REGULAR,True
145,Brenda Levy,zcoffey@hotmail.com,2024-08-11 23:33:37,PREMIUM,True
146,Richard Smith,gibsonemily@hotmail.com,2025-08-14 04:03:33,REGULAR,True
147,James Little,daniel37@gmail.com,2023-01-01 15:08:04,REGULAR,True
148,Terri Murphy,deborahreid@yahoo.com,2025-06-19 23:23:59,REGULAR,True
149,Elizabeth Ortiz,brandonjohnson@yahoo.com,2024-11-17 06:58:35,REGULAR,True
150,David Medina,qchavez@hotmail.com,2025-01-05 01:39:34,PREMIUM,True
151,Kimberly Matthews,nicolepena@yahoo.com,2023-09-21 14:33:13,PREMIUM,True
152,Teresa Ramirez,jeff73@yahoo.com,2025-10-28 06:15:53,REGULAR,True
153,Michael Stephens,bruce43@gmail.com,2023-12-31 20:32:09,PREMIUM,True
154,Samantha Davis,darleneharper@gmail.com,2023-11-06 08:06:07,REGULAR,True
155,Gavin Zhang,caseyhubbard@gmail.com,2025-01-08 02:22:00,REGULAR,True
156,Robin Hall,kristinacarlson@yahoo.com,2024-12-08 11:08:43,REGULAR,True
157,Brianna Anderson,lauren10@gmail.com,2023-10-30 01:04:15,PREMIUM,True
158,Richard Young,alfred40@gmail.com,2024-09-12 20:08:19,REGULAR,True
159,Kelly Reese,xwest@hotmail.com,2023-01-09 14:43:32,PREMIUM,True
160,Jodi Walker,acostaregina@hotmail.com,2023-06-15 13:51:44,PREMIUM,True
161,Judith Maynard,lutzmelanie@yahoo.com,2025-03-15 14:51:52,REGULAR,True
162,Katherine Browning,lammarc@gmail.com,2023-07-08 12:34:35,REGULAR,True
163,Donald Schultz,oscar98@yahoo.com,2025-11-03 01:06:06,REGULAR,True
164,Larry Garcia,farrelldebra@hotmail.com,2024-05-07 21:43:30,VIP,True
165,Cindy Hayes,robertwilcox@yahoo.com,2025-08-09 17:20:02,PREMIUM,True
166,Brandon Simmons,nicholas27@gmail.com,2024-10-24 22:02:54,PREMIUM,True
167,Bradley Reynolds,lisa80@hotmail.com,2023-09-05 05:50:12,PREMIUM,True
168,Kristina Santiago,qgomez@yahoo.com,2024-02-07 15:21:40,PREMIUM,True
169,Michelle Schmitt,michael98@gmail.com,2024-03-06 18:54:59,PREMIUM,True
170,John Boone,megan51@yahoo.com,2025-08-31 14:52:31,REGULAR,True
171,Renee Bruce,lynchdiane@hotmail.com,2024-03-19 20:43:03,REGULAR,True
172,Christopher Park,sandra50@gmail.com,2025-04-19 02:20:04,REGULAR,True
173,Kylie Morales,joycebonilla@gmail.com,2024-08-18 00:35:26,PREMIUM,True
174,Cindy Barnes,eric45@hotmail.com,2023-04-10 18:37:30,REGULAR,True
175,Sophia Moore,craigjoseph@hotmail.com,2024-12-24 18:55:01,REGULAR,True
176,Lawrence Perry,kariwilson@yahoo.com,2024-10-14 16:05:08,REGULAR,True
177,Michael Watkins,brandon69@gmail.com,2023-01-31 08:12:14,PREMIUM,True
178,Eric Clark,kathrynroberts@gmail.com,2024-08-13 21:37:57,REGULAR,True
179,Paul Thompson,opatel@hotmail.com,2024-04-08 21:05:11,PREMIUM,True
180,Mary Gomez,chensley@yahoo.com,2024-10-12 22:14:44,REGULAR,True
181,Thomas Atkins,tberry@hotmail.com,2025-07-26 02:53:11,PREMIUM,True
182,Brian Smith,george97@hotmail.com,2024-02-28 23:45:57,REGULAR,True
183,Anita Richard,ryanmorales@gmail.com,2024-06-06 03:49:03,PREMIUM,True
184,Eric Morgan,kimberly18@hotmail.com,2023-09-14 09:18:48,PREMIUM,True
185,Jordan Bullock,michael23@gmail.com,2025-08-24 15:25:15,REGULAR,True
186,Craig Morrison,thompsonkendra@yahoo.com,2025-07-08 11:21:43,REGULAR,True
187,Justin Riley,michelle52@yahoo.com,2025-09-25 11:26:37,REGULAR,True
188,Jeremy Turner,brittany58@gmail.com,2023-10-10 07:20:57,REGULAR,True
189,Jesse Brown,chase19@hotmail.com,2023-11-25 19:16:02,REGULAR,True
190,Julie Spencer,colelisa@hotmail.com,2024-08-11 22:50:59,REGULAR,True
191,Larry Mason,hayeslisa@yahoo.com,2024-10-16 21:04:33,REGULAR,True
192,Mrs. Maria Williams,hritter@hotmail.com,2023-01-31 02:39:40,PREMIUM,True
193,Helen Hardin,vortiz@hotmail.com,2024-06-27 15:28:02,REGULAR,True
194,Rachel Holland,riveraangela@yahoo.com,2025-10-09 11:10:29,REGULAR,True
195,Nathaniel Douglas,mathewaguilar@gmail.com,2024-01-20 03:23:23,REGULAR,True
196,Emily Douglas,tanderson@gmail.com,2023-08-25 17:13:32,REGULAR,True
197,James Conner,elizabethcalderon@hotmail.com,2023-06-27 16:44:51,REGULAR,True
198,Susan Davis DDS,andrew42@gmail.com,2024-02-03 01:27:26,PREMIUM,True
199,Ralph Lee,ericphillips@gmail.com,2025-08-01 07:49:38,VIP,True
200,Kimberly Rodgers,stanleynancy@hotmail.com,2023-09-12 09:37:54,VIP,True
201,James Martin,jenniferwilliams@yahoo.com,2023-02-09 21:21:39,VIP,True
202,Cynthia Wallace,karen73@hotmail.com,2024-08-06 00:27:27,REGULAR,True
203,Vincent Mueller,michealvalentine@yahoo.com,2023-04-29 01:21:14,REGULAR,True
204,Douglas Reyes,mburch@hotmail.com,2024-01-13 06:04:52,REGULAR,True
205,David Davidson,angela18@gmail.com,2025-11-28 23:01:33,REGULAR,True
206,Phillip Nelson,mariahdavis@gmail.com,2025-05-29 03:29:41,PREMIUM,True
207,Stacey Arias,gbrown@yahoo.com,2024-10-27 11:05:23,PREMIUM,True
208,Zachary Brooks,florescory@hotmail.com,2025-10-02 22:09:44,REGULAR,True
209,Raven Taylor,samantha72@hotmail.com,2025-01-31 12:02:39,REGULAR,True
210,Luis Bullock,scottmary@hotmail.com,2025-09-14 08:19:48,PREMIUM,True
211,Lisa Henderson,john10@gmail.com,2023-08-26 15:55:24,REGULAR,True
212,Riley Bryant,copelandvincent@hotmail.com,2025-10-07 10:48:36,REGULAR,True
213,Jose Allen,kellysmith@yahoo.com,2025-04-16 00:32:24,PREMIUM,True
214,Jason Beck,millsmichael@hotmail.com,2025-07-09 09:03:17,REGULAR,True
215,Rachel Romero,myerstheodore@hotmail.com,2023-05-15 15:01:37,REGULAR,True
216,James Burgess,kristina53@hotmail.com,2024-12-22 21:35:14,REGULAR,True
217,Ashley Perkins,dennis58@yahoo.com,2024-06-06 13:46:30,REGULAR,True
218,Carrie Maxwell,epollard@hotmail.com,2023-10-10 11:28:52,REGULAR,True
219,Chad Baldwin,mjohnson@gmail.com,2024-02-06 08:04:33,REGULAR,True
220,Stacey Stewart,zachary87@yahoo.com,2024-03-05 04:02:20,REGULAR,True
221,Matthew Mitchell,glennmartin@gmail.com,2023-10-24 19:05:59,REGULAR,True
222,Jessica Ross,ykline@yahoo.com,2025-01-28 23:30:08,REGULAR,True
223,Kathleen Jimenez,laurie61@yahoo.com,2025-01-09 14:02:15,REGULAR,True
224,Samantha Gardner,curtis54@yahoo.com,2023-01-27 18:52:31,REGULAR,True
225,Mitchell Jackson,cbell@hotmail.com,2024-01-13 23:04:26,REGULAR,True
226,Heather Bolton,danielle01@hotmail.com,2025-01-05 04:25:47,REGULAR,True
227,Heidi Owen,stephaniethomas@hotmail.com,2025-05-04 23:58:10,REGULAR,True
228,Jessica Martinez,kimberlydiaz@yahoo.com,2024-02-25 20:29:47,REGULAR,True
229,Amanda Hernandez,xrush@yahoo.com,2023-10-27 04:03:46,REGULAR,True
230,Laura Moreno,redwards@gmail.com,2023-10-15 14:53:11,REGULAR,True
231,Allison Lopez,hmcintyre@yahoo.com,2024-03-05 12:39:11,PREMIUM,True
232,Michele Lewis,heather73@gmail.com,2025-03-25 23:52:48,REGULAR,True
233,Benjamin Thompson,zosborn@hotmail.com,2023-10-29 13:13:40,REGULAR,True
234,Victoria Contreras,piercekelly@yahoo.com,2024-04-14 13:21:09,REGULAR,True
235,Michelle Ho,laurahicks@gmail.com,2024-03-02 03:04:03,REGULAR,True
236,Dr. Cynthia Snyder,angela57@hotmail.com,2024-03-29 19:38:36,PREMIUM,True
237,Stephen Jones,ukey@yahoo.com,2025-02-01 13:17:03,REGULAR,True
238,Patricia Morrow,martinezlogangmail.com,2025-01-13 15:45:33,REGULAR,False
239,Michael Cooper,katrinaanderson@hotmail.com,2023-03-21 19:27:46,REGULAR,True
240,Amy Martinez,kevinmartin@hotmail.com,2023-06-27 05:28:36,PREMIUM,True
241,Travis Stone,meghan43@hotmail.com,2023-04-26 01:59:00,REGULAR,True
242,Denise Weber,shawgary@hotmail.com,2023-08-24 16:47:34,REGULAR,True
243,Matthew Le,megan90@gmail.com,2024-04-16 23:48:32,REGULAR,True
244,Travis Wise,debra96@hotmail.com,2025-05-16 22:28:14,PREMIUM,True
245,Kathleen Burton,dawn47@gmail.com,2025-08-18 16:18:26,REGULAR,True
246,Melinda Evans,barkereric@yahoo.com,2024-11-30 20:23:47,VIP,True
247,Mr. Lawrence Edwards,jessica56@gmail.com,2025-07-03 05:48:26,VIP,True
248,Kayla Rodriguez,stevenadams@gmail.com,2025-08-22 17:34:36,REGULAR,True
249,Anthony Dougherty,kwright@yahoo.com,2023-06-04 03:41:44,VIP,True
250,Michelle Lee,tyronerobertson@yahoo.com,2023-11-24 19:35:22,REGULAR,True
251,Kathleen Davis,pwagner@gmail.com,2024-01-08 14:49:19,REGULAR,True
252,Amber Campbell,amitchell@gmail.com,2023-01-05 03:45:29,REGULAR,True
253,Stephen Luna,zdiaz@gmail.com,2024-12-30 23:36:25,REGULAR,True
254,Chloe Tran,hughesshannon@hotmail.com,2024-03-15 04:30:17,PREMIUM,True
255,William Becker,andersoncolin@yahoo.com,2023-12-29 14:40:12,VIP,True
256,Gina Mcmillan,jameshicks@hotmail.com,2025-08-28 23:51:05,REGULAR,True
257,Andrew Reeves,jstone@hotmail.com,2023-11-04 07:14:05,REGULAR,True
258,Brenda Velazquez,francisco94@hotmail.com,2025-10-03 01:34:21,REGULAR,True
259,Ronald Patel,thomas05@yahoo.com,2023-08-09 22:57:11,REGULAR,True
260,Veronica Silva,carlsonjoseph@hotmail.com,2024-04-22 20:35:58,REGULAR,True
261,Paula Lane,silvageorge@hotmail.com,2024-03-24 08:10:57,REGULAR,True
262,Patricia James,anthonyvaughan@gmail.com,2024-04-17 09:20:28,PREMIUM,True
263,Jeremy Barnes,avaughn@hotmail.com,2025-02-16 10:57:18,REGULAR,True
264,Tami Salas,thorntonapril@hotmail.com,2025-07-18 00:25:22,REGULAR,True
265,Matthew Fox,sue78@yahoo.com,2024-05-15 17:01:10,REGULAR,True
266,Megan Dillon,chelsea33@yahoo.com,2023-12-22 14:55:14,VIP,True
267,Courtney Dudley,kellie37@yahoo.com,2025-06-12 12:58:37,REGULAR,True
268,Justin Michael,keith98@yahoo.com,2025-11-10 08:28:26,PREMIUM,True
269,Jennifer Reed,kellyroberts@hotmail.com,2023-09-30 03:35:01,REGULAR,True
270,Thomas Douglas,ilewis@yahoo.com,2024-03-08 02:25:43,REGULAR,True
271,Melissa Taylor,johnsantiago@hotmail.com,2025-09-13 02:29:22,PREMIUM,True
272,David Garcia,jennifer12@gmail.com,2024-12-31 03:15:27,REGULAR,True
273,Vanessa Moore,mwoods@yahoo.com,2025-11-07 00:23:17,REGULAR,True
274,Matthew Velez,pearsonjesse@hotmail.com,2024-10-01 11:14:28,PREMIUM,True
275,Taylor Gentry,robertmonroe@gmail.com,2024-09-14 01:56:31,PREMIUM,True
276,Jennifer Simpson DVM,nancy04@hotmail.com,2024-12-07 13:08:20,REGULAR,True
277,Tanya Rogers,ihays@hotmail.com,2023-06-30 01:52:13,VIP,True
278,Todd Rosales MD,lisarivera@hotmail.com,2025-03-10 09:32:19,PREMIUM,True
279,David Lopez,krystal93@,2024-12-18 15:43:35,REGULAR,False
280,Margaret Sullivan,frobertson@yahoo.com,2024-07-16 00:06:43,REGULAR,True
281,Cathy Taylor,shari04@yahoo.com,2024-11-17 16:28:52,PREMIUM,True
282,Paul Finley,brandi90@yahoo.com,2025-05-03 04:23:32,REGULAR,True
283,Melissa Brown,marshallerik@hotmail.com,2025-01-22 23:21:56,REGULAR,True
284,Stephanie Padilla,hannah45@hotmail.com,2025-08-03 20:22:51,PREMIUM,True
285,Tyler Mendoza,madkins@yahoo.com,2024-04-27 17:36:17,REGULAR,True
286,Joshua Ruiz,kathleenbecker@hotmail.com,2023-05-25 19:05:27,REGULAR,True
287,Angela Griffin,christian91@gmail.com,2023-06-26 06:08:13,REGULAR,True
288,Stephanie Harris,franklinbond@yahoo.com,2023-08-28 04:27:34,REGULAR,True
289,Daniel Aguilar,nolansean@gmail.com,2025-03-01 12:07:25,PREMIUM,True
290,Jose Bryant,hansenemily@yahoo.com,2025-01-19 12:53:16,VIP,True
291,Jennifer Velasquez,bethwilliams@yahoo.com,2025-05-06 08:39:06,REGULAR,True
292,Kimberly Brown,andersenthomas@yahoo.com,2025-07-20 02:24:59,REGULAR,True
293,Randy Cannon,ybrooks@yahoo.com,2023-04-19 10:42:30,REGULAR,True
294,Susan Bennett,desireebailey@gmail.com,2024-10-06 14:10:29,REGULAR,True
295,Jenna Anderson DVM,avilatiffany@yahoo.com,2024-02-20 00:55:07,PREMIUM,True
296,Kimberly Patel,johnreed@yahoo.com,2024-04-08 18:58:07,PREMIUM,True
297,Shaun Cannon,pachecorobert@gmail.com,2025-10-22 04:22:28,REGULAR,True
298,Austin Wheeler,tharper@gmail.com,2025-04-16 15:44:21,REGULAR,True
299,Andrew Gonzales,karenparsons@gmail.com,2025-04-24 04:32:28,REGULAR,True
300,Donna Cabrera,barbara53@yahoo.com,2023-10-21 01:28:12,VIP,True
301,Victoria Boyd,dturner@hotmail.com,2024-08-17 22:11:17,REGULAR,True
302,Sheryl Buck,dpeters@yahoo.com,2023-03-09 19:17:21,REGULAR,True
303,Megan Floyd,heather62@yahoo.com,2024-08-15 05:19:38,REGULAR,True
304,Paul Wells,kevinzimmerman@yahoo.com,2025-10-09 21:01:48,VIP,True
305,Kristina Faulkner,paulscott@yahoo.com,2023-02-27 12:11:28,REGULAR,True
306,Tammy Boone,nicholsmaria@gmail.com,2024-05-30 17:39:34,PREMIUM,True
307,Michael Morrison,lopezkathleen@hotmail.com,2024-11-14 23:48:19,REGULAR,True
308,Claire Clark,kevin03@gmail.com,2023-01-24 20:11:59,PREMIUM,True
309,Autumn Key,srocha@hotmail.com,2025-10-14 04:01:01,VIP,True
310,Jennifer Allen,kimberly67@hotmail.com,2024-02-16 16:45:55,REGULAR,True
311,Elizabeth Ward,zowens@hotmail.com,2025-10-06 11:39:59,REGULAR,True
312,Ryan Rocha,lawrence09@gmail.com,2025-11-13 13:52:10,PREMIUM,True
313,Alexis Tran,mphillips@yahoo.com,2024-05-06 21:59:00,REGULAR,True
314,Kelly Sanchez,jonathan77@yahoo.com,2025-01-28 00:00:02,PREMIUM,True
315,Robert Jackson,iwhite@hotmail.com,2023-04-17 06:54:37,REGULAR,True
316,Kelly Combs,landryelizabeth@gmail.com,2024-03-22 10:15:56,VIP,True
317,Ryan Hall,albertwagner@yahoo.com,2024-11-05 03:37:44,VIP,True
